English_Queries,Task,Category,Sub_Category,Customer
display Max Shipment  Cheese in year 2019?,Max Shipment,Cheese,NA,NA
generate Gross Sales  Candy in year 2019?,Gross Sales,Candy,NA,NA
generate Revenue  Gelatin in quarter Q4?,Revenue,NA,Gelatin,NA
get Max Shipment  Aldi in quarter Q2 to Q4?,Max Shipment,NA,NA,Aldi
display Count  Bacon in year 2019?,Count,NA,Bacon,NA
fetch Net sales  Candy in year 2019?,Net sales,Candy,NA,NA
generate Revenue  Creamers in quarter Q3?,Revenue,NA,Creamers,NA
get Net sales  Bars/Snacks in quarter Q2 to Q4?,Net sales,NA,Bars/Snacks,NA
fetch Count  Creamers in week Wk31?,Count,NA,Creamers,NA
generate Net sales  Meats in quarter Q1 to Q4?,Net sales,Meats,NA,NA
fetch Revenue  Chocolate in week Wk1?,Revenue,NA,Chocolate,NA
get Count  Juice in quarter Q1 to Q4?,Count,NA,Juice,NA
fetch Top Line  Sauces in year 2019?,Top Line,Sauces,NA,NA
display Gross Sales  Ketchup in week Wk18 to Wk40?,Gross Sales,NA,Ketchup,NA
display Max Shipment  Specialty Meats in year 2019?,Max Shipment,NA,Specialty Meats,NA
fetch Bottom Line  Target in year 2019?,Bottom Line,NA,NA,Target
display Count  Walmart in month Aug?,Count,NA,NA,Walmart
fetch Count  Creamers in year 2019?,Count,NA,Creamers,NA
fetch Bottom Line  Albertsons/Safeway in year 2019?,Bottom Line,NA,NA,Albertsons/Safeway
display Bottom Line  Sauces in week Wk15 to Wk34?,Bottom Line,Sauces,NA,NA
generate Revenue  Cheese in quarter Q3?,Revenue,Cheese,NA,NA
generate Top Line  Target in year 2019?,Top Line,NA,NA,Target
fetch Gross Sales  Aldi in month Oct?,Gross Sales,NA,NA,Aldi
display Net sales  Cheese in quarter Q1 to Q4?,Net sales,Cheese,NA,NA
fetch Bottom Line  Natural Cheese in month May?,Bottom Line,NA,Natural Cheese,NA
display Bottom Line  UNIFI in quarter Q2 to Q4?,Bottom Line,NA,NA,UNIFI
fetch Max Shipment  Candy in month Sep?,Max Shipment,Candy,NA,NA
display Top Line  Walmart in year 2019?,Top Line,NA,NA,Walmart
fetch Top Line  Sauces in quarter Q2?,Top Line,Sauces,NA,NA
get Gross Sales  Mayonaise in month Apr to Sep?,Gross Sales,NA,Mayonaise,NA
get Gross Sales  Cold Cuts in quarter Q2?,Gross Sales,NA,Cold Cuts,NA
display Count  Sauces in week Wk14 to Wk41?,Count,Sauces,NA,NA
generate Top Line  Specialty Meats in month Dec?,Top Line,NA,Specialty Meats,NA
fetch Bottom Line  Shelf Stable in week Wk16 to Wk41?,Bottom Line,NA,Shelf Stable,NA
fetch Top Line  Bars/Snacks in year 2019?,Top Line,NA,Bars/Snacks,NA
get Net sales  Natural Cheese in week Wk20 to Wk44?,Net sales,NA,Natural Cheese,NA
fetch Count  Juice in week Wk13?,Count,NA,Juice,NA
generate Net sales  Hot Dogs in week Wk3 to Wk48?,Net sales,NA,Hot Dogs,NA
fetch Bottom Line  Meats in quarter Q3?,Bottom Line,Meats,NA,NA
generate Bottom Line  UNIFI in quarter Q2 to Q4?,Bottom Line,NA,NA,UNIFI
get Top Line  Specialty Meats in year 2019?,Top Line,NA,Specialty Meats,NA
generate Count  Breakfast in month Feb to Sep?,Count,Breakfast,NA,NA
fetch Revenue  Walmart in week Wk50?,Revenue,NA,NA,Walmart
fetch Top Line  UNIFI in week Wk2 to Wk47?,Top Line,NA,NA,UNIFI
display Gross Sales  Coffee in year 2019?,Gross Sales,NA,Coffee,NA
display Max Shipment  Tea in quarter Q1 to Q4?,Max Shipment,NA,Tea,NA
fetch Top Line  Aldi in year 2019?,Top Line,NA,NA,Aldi
display Bottom Line  Chocolate in week Wk18 to Wk39?,Bottom Line,NA,Chocolate,NA
generate Bottom Line  Cheese in month Jul?,Bottom Line,Cheese,NA,NA
get Max Shipment  Kroger in quarter Q1 to Q4?,Max Shipment,NA,NA,Kroger
display Count  Cheese in week Wk24?,Count,Cheese,NA,NA
display Bottom Line  Processed Cheese in week Wk11 to Wk40?,Bottom Line,NA,Processed Cheese,NA
get Bottom Line  Cheese in quarter Q2?,Bottom Line,Cheese,NA,NA
get Max Shipment  Dollar General in quarter Q1 to Q4?,Max Shipment,NA,NA,Dollar General
get Net sales  Albertsons/Safeway in week Wk3?,Net sales,NA,NA,Albertsons/Safeway
fetch Gross Sales  Albertsons/Safeway in month Feb to Sep?,Gross Sales,NA,NA,Albertsons/Safeway
display Top Line  Specialty Meats in month Jun?,Top Line,NA,Specialty Meats,NA
get Top Line  Candy in week Wk11 to Wk28?,Top Line,Candy,NA,NA
display Net sales  Candy in week Wk16?,Net sales,Candy,NA,NA
fetch Bottom Line  Tea in week Wk11 to Wk48?,Bottom Line,NA,Tea,NA
display Count  Meats in quarter Q3?,Count,Meats,NA,NA
get Bottom Line  Sauces in quarter Q2 to Q4?,Bottom Line,Sauces,NA,NA
generate Max Shipment  Aldi in quarter Q1?,Max Shipment,NA,NA,Aldi
generate Count  Sauces in quarter Q1 to Q4?,Count,Sauces,NA,NA
fetch Net sales  Coffee in month Sep?,Net sales,NA,Coffee,NA
generate Gross Sales  Walmart in quarter Q2 to Q4?,Gross Sales,NA,NA,Walmart
display Gross Sales  Breakfast in month Mar?,Gross Sales,Breakfast,NA,NA
generate Net sales  UNIFI in month May to Oct?,Net sales,NA,NA,UNIFI
get Max Shipment  Chocolate in year 2019?,Max Shipment,NA,Chocolate,NA
fetch Bottom Line  Meats in year 2019?,Bottom Line,Meats,NA,NA
fetch Top Line  Costco in quarter Q3?,Top Line,NA,NA,Costco
fetch Top Line  Meats in week Wk12 to Wk27?,Top Line,Meats,NA,NA
get Count  Chocolate in month May?,Count,NA,Chocolate,NA
generate Top Line  Albertsons/Safeway in month Mar to Oct?,Top Line,NA,NA,Albertsons/Safeway
get Revenue  Specialty Meats in week Wk20?,Revenue,NA,Specialty Meats,NA
fetch Bottom Line  Costco in year 2019?,Bottom Line,NA,NA,Costco
generate Gross Sales  Ahold in year 2019?,Gross Sales,NA,NA,Ahold
get Gross Sales  Enhancers in year 2019?,Gross Sales,NA,Enhancers,NA
display Count  Shelf Stable in month Jan?,Count,NA,Shelf Stable,NA
display Revenue  Tea in month Mar to Aug?,Revenue,NA,Tea,NA
display Gross Sales  Juice in week Wk12?,Gross Sales,NA,Juice,NA
fetch Net sales  Meats in quarter Q1 to Q4?,Net sales,Meats,NA,NA
fetch Top Line  Meats in quarter Q2?,Top Line,Meats,NA,NA
generate Count  Candy in year 2019?,Count,Candy,NA,NA
display Count  Processed Cheese in month Nov?,Count,NA,Processed Cheese,NA
display Net sales  Chocolate in quarter Q1 to Q4?,Net sales,NA,Chocolate,NA
get Count  Ahold in month Feb?,Count,NA,NA,Ahold
generate Bottom Line  Meats in month Apr to Aug?,Bottom Line,Meats,NA,NA
generate Count  UNIFI in week Wk18?,Count,NA,NA,UNIFI
generate Count  Candy in quarter Q1 to Q4?,Count,Candy,NA,NA
display Net sales  Cold Cuts in quarter Q1?,Net sales,NA,Cold Cuts,NA
display Count  UNIFI in year 2019?,Count,NA,NA,UNIFI
get Count  Meats in month Aug?,Count,Meats,NA,NA
display Max Shipment  Cheese in week Wk25 to Wk34?,Max Shipment,Cheese,NA,NA
generate Max Shipment  Gelatin in month Aug?,Max Shipment,NA,Gelatin,NA
generate Top Line  Breakfast in week Wk7 to Wk49?,Top Line,Breakfast,NA,NA
generate Revenue  Albertsons/Safeway in quarter Q3?,Revenue,NA,NA,Albertsons/Safeway
display Gross Sales  Aldi in quarter Q2 to Q4?,Gross Sales,NA,NA,Aldi
display Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
generate Net sales  Ahold in year 2019?,Net sales,NA,NA,Ahold
fetch Top Line  Target in week Wk20?,Top Line,NA,NA,Target
display Max Shipment  Kroger in quarter Q2 to Q4?,Max Shipment,NA,NA,Kroger
fetch Net sales  Candy in month Nov?,Net sales,Candy,NA,NA
generate Gross Sales  Gelatin in week Wk23 to Wk35?,Gross Sales,NA,Gelatin,NA
display Revenue  Gelatin in year 2019?,Revenue,NA,Gelatin,NA
get Bottom Line  Sauces in month May to Dec?,Bottom Line,Sauces,NA,NA
fetch Gross Sales  Meats in year 2019?,Gross Sales,Meats,NA,NA
generate Revenue  Cheese in month Jun to Oct?,Revenue,Cheese,NA,NA
get Gross Sales  Candy in week Wk13?,Gross Sales,Candy,NA,NA
get Bottom Line  Coffee in month May to Sep?,Bottom Line,NA,Coffee,NA
generate Top Line  Specialty Meats in week Wk49?,Top Line,NA,Specialty Meats,NA
generate Top Line  Aldi in week Wk14 to Wk50?,Top Line,NA,NA,Aldi
generate Top Line  Sauces in month Apr?,Top Line,Sauces,NA,NA
get Bottom Line  Caramels in year 2019?,Bottom Line,NA,Caramels,NA
get Max Shipment  Caramels in year 2019?,Max Shipment,NA,Caramels,NA
get Count  Sauces in year 2019?,Count,Sauces,NA,NA
generate Max Shipment  Cheese in month Jan?,Max Shipment,Cheese,NA,NA
display Bottom Line  UNIFI in month Apr to Sep?,Bottom Line,NA,NA,UNIFI
display Revenue  Sauces in month Jun?,Revenue,Sauces,NA,NA
fetch Net sales  Publix in week Wk15 to Wk29?,Net sales,NA,NA,Publix
display Top Line  Kroger in week Wk41?,Top Line,NA,NA,Kroger
fetch Max Shipment  Ahold in month Feb to Dec?,Max Shipment,NA,NA,Ahold
get Count  Sauces in month Dec?,Count,Sauces,NA,NA
get Revenue  Meats in week Wk24 to Wk35?,Revenue,Meats,NA,NA
generate Gross Sales  Candy in week Wk32?,Gross Sales,Candy,NA,NA
generate Count  Target in year 2019?,Count,NA,NA,Target
display Revenue  Ahold in quarter Q4?,Revenue,NA,NA,Ahold
display Max Shipment  Ahold in quarter Q2 to Q4?,Max Shipment,NA,NA,Ahold
get Net sales  Aldi in year 2019?,Net sales,NA,NA,Aldi
get Top Line  Natural Cheese in week Wk17 to Wk41?,Top Line,NA,Natural Cheese,NA
fetch Count  Cheese in quarter Q4?,Count,Cheese,NA,NA
fetch Top Line  Kroger in year 2019?,Top Line,NA,NA,Kroger
generate Revenue  Caramels in quarter Q3?,Revenue,NA,Caramels,NA
generate Bottom Line  Kroger in year 2019?,Bottom Line,NA,NA,Kroger
display Max Shipment  Ketchup in year 2019?,Max Shipment,NA,Ketchup,NA
get Count  Kroger in month Jun to Sep?,Count,NA,NA,Kroger
display Revenue  Cheese in week Wk43?,Revenue,Cheese,NA,NA
generate Max Shipment  Meats in quarter Q2 to Q4?,Max Shipment,Meats,NA,NA
generate Gross Sales  BBQ in year 2019?,Gross Sales,NA,BBQ,NA
display Max Shipment  Publix in quarter Q1 to Q4?,Max Shipment,NA,NA,Publix
generate Gross Sales  Caramels in week Wk44?,Gross Sales,NA,Caramels,NA
generate Max Shipment  Breakfast in week Wk17 to Wk52?,Max Shipment,Breakfast,NA,NA
get Count  Cold Cuts in week Wk3?,Count,NA,Cold Cuts,NA
get Bottom Line  Dollar General in week Wk25 to Wk39?,Bottom Line,NA,NA,Dollar General
generate Gross Sales  Dollar General in month Feb?,Gross Sales,NA,NA,Dollar General
display Bottom Line  Breakfast in quarter Q2 to Q4?,Bottom Line,Breakfast,NA,NA
get Gross Sales  Natural Cheese in week Wk37?,Gross Sales,NA,Natural Cheese,NA
generate Net sales  Amazon in year 2019?,Net sales,NA,NA,Amazon
display Top Line  Candy in year 2019?,Top Line,Candy,NA,NA
get Revenue  Enhancers in quarter Q1 to Q4?,Revenue,NA,Enhancers,NA
get Max Shipment  Juice in year 2019?,Max Shipment,NA,Juice,NA
get Net sales  Amazon in year 2019?,Net sales,NA,NA,Amazon
display Gross Sales  Sauces in week Wk6?,Gross Sales,Sauces,NA,NA
generate Top Line  Aldi in week Wk21 to Wk40?,Top Line,NA,NA,Aldi
display Count  Bars/Snacks in year 2019?,Count,NA,Bars/Snacks,NA
get Revenue  Processed Cheese in month Feb to Oct?,Revenue,NA,Processed Cheese,NA
generate Count  Ahold in week Wk9?,Count,NA,NA,Ahold
fetch Net sales  Ahold in year 2019?,Net sales,NA,NA,Ahold
fetch Gross Sales  Creamers in month Apr?,Gross Sales,NA,Creamers,NA
fetch Count  Hot Dogs in month May to Sep?,Count,NA,Hot Dogs,NA
get Bottom Line  Candy in year 2019?,Bottom Line,Candy,NA,NA
display Count  Walmart in quarter Q2 to Q4?,Count,NA,NA,Walmart
generate Net sales  Caramels in year 2019?,Net sales,NA,Caramels,NA
fetch Gross Sales  Hard in quarter Q1 to Q4?,Gross Sales,NA,Hard,NA
display Gross Sales  Creamers in year 2019?,Gross Sales,NA,Creamers,NA
generate Net sales  Mayonaise in month Apr to Aug?,Net sales,NA,Mayonaise,NA
display Count  Albertsons/Safeway in month Mar?,Count,NA,NA,Albertsons/Safeway
display Bottom Line  Kroger in year 2019?,Bottom Line,NA,NA,Kroger
display Count  Sauces in year 2019?,Count,Sauces,NA,NA
fetch Count  Costco in month Apr to Sep?,Count,NA,NA,Costco
display Top Line  Albertsons/Safeway in year 2019?,Top Line,NA,NA,Albertsons/Safeway
generate Net sales  Ahold in week Wk12 to Wk36?,Net sales,NA,NA,Ahold
fetch Max Shipment  Amazon in week Wk20?,Max Shipment,NA,NA,Amazon
fetch Max Shipment  Hard in year 2019?,Max Shipment,NA,Hard,NA
display Net sales  UNIFI in quarter Q2?,Net sales,NA,NA,UNIFI
display Top Line  Gelatin in week Wk1 to Wk43?,Top Line,NA,Gelatin,NA
get Net sales  Ahold in week Wk2?,Net sales,NA,NA,Ahold
get Max Shipment  Creamers in month Mar to Sep?,Max Shipment,NA,Creamers,NA
get Bottom Line  Amazon in month Jan?,Bottom Line,NA,NA,Amazon
display Max Shipment  BBQ in week Wk25 to Wk30?,Max Shipment,NA,BBQ,NA
get Gross Sales  UNIFI in quarter Q1?,Gross Sales,NA,NA,UNIFI
fetch Top Line  Meats in month Mar to Nov?,Top Line,Meats,NA,NA
get Net sales  Sauces in month Mar?,Net sales,Sauces,NA,NA
generate Revenue  Sauces in year 2019?,Revenue,Sauces,NA,NA
get Gross Sales  Bars/Snacks in month Sep?,Gross Sales,NA,Bars/Snacks,NA
fetch Revenue  Cheese in year 2019?,Revenue,Cheese,NA,NA
display Bottom Line  UNIFI in month Oct?,Bottom Line,NA,NA,UNIFI
get Count  Hot Dogs in week Wk4 to Wk36?,Count,NA,Hot Dogs,NA
display Top Line  Tea in quarter Q1?,Top Line,NA,Tea,NA
get Revenue  Meats in year 2019?,Revenue,Meats,NA,NA
display Count  Meats in year 2019?,Count,Meats,NA,NA
fetch Gross Sales  Amazon in quarter Q2 to Q4?,Gross Sales,NA,NA,Amazon
display Max Shipment  Walmart in year 2019?,Max Shipment,NA,NA,Walmart
fetch Net sales  Hot Dogs in month Mar to Nov?,Net sales,NA,Hot Dogs,NA
fetch Gross Sales  Candy in year 2019?,Gross Sales,Candy,NA,NA
display Top Line  Breakfast in week Wk21 to Wk47?,Top Line,Breakfast,NA,NA
display Count  Albertsons/Safeway in quarter Q4?,Count,NA,NA,Albertsons/Safeway
display Max Shipment  Kroger in quarter Q1 to Q4?,Max Shipment,NA,NA,Kroger
fetch Net sales  All others in week Wk33?,Net sales,NA,All others,NA
display Bottom Line  Grated in year 2019?,Bottom Line,NA,Grated,NA
display Gross Sales  Meats in quarter Q1?,Gross Sales,Meats,NA,NA
get Gross Sales  Meats in quarter Q1 to Q4?,Gross Sales,Meats,NA,NA
fetch Gross Sales  Specialty Meats in week Wk48?,Gross Sales,NA,Specialty Meats,NA
get Revenue  All others in week Wk8 to Wk41?,Revenue,NA,All others,NA
fetch Max Shipment  Ahold in year 2019?,Max Shipment,NA,NA,Ahold
generate Top Line  Kroger in week Wk14 to Wk39?,Top Line,NA,NA,Kroger
display Revenue  Walmart in week Wk41?,Revenue,NA,NA,Walmart
fetch Revenue  Meats in quarter Q2 to Q4?,Revenue,Meats,NA,NA
get Count  Cheese in year 2019?,Count,Cheese,NA,NA
fetch Max Shipment  Sauces in year 2019?,Max Shipment,Sauces,NA,NA
generate Bottom Line  Natural Cheese in week Wk15?,Bottom Line,NA,Natural Cheese,NA
fetch Top Line  Aldi in quarter Q2 to Q4?,Top Line,NA,NA,Aldi
fetch Count  UNIFI in quarter Q2?,Count,NA,NA,UNIFI
display Bottom Line  Sauces in year 2019?,Bottom Line,Sauces,NA,NA
display Gross Sales  Dollar General in quarter Q1?,Gross Sales,NA,NA,Dollar General
display Max Shipment  Walmart in year 2019?,Max Shipment,NA,NA,Walmart
generate Gross Sales  UNIFI in quarter Q3?,Gross Sales,NA,NA,UNIFI
fetch Count  Mayonaise in year 2019?,Count,NA,Mayonaise,NA
generate Gross Sales  Kroger in year 2019?,Gross Sales,NA,NA,Kroger
generate Gross Sales  Ahold in quarter Q1 to Q4?,Gross Sales,NA,NA,Ahold
fetch Gross Sales  Target in week Wk42?,Gross Sales,NA,NA,Target
fetch Revenue  Juice in year 2019?,Revenue,NA,Juice,NA
get Bottom Line  Publix in quarter Q3?,Bottom Line,NA,NA,Publix
generate Max Shipment  Meats in year 2019?,Max Shipment,Meats,NA,NA
display Top Line  Publix in week Wk7?,Top Line,NA,NA,Publix
generate Top Line  Walmart in quarter Q2 to Q4?,Top Line,NA,NA,Walmart
display Gross Sales  Candy in week Wk19?,Gross Sales,Candy,NA,NA
display Bottom Line  Candy in year 2019?,Bottom Line,Candy,NA,NA
fetch Max Shipment  Ahold in year 2019?,Max Shipment,NA,NA,Ahold
generate Gross Sales  Breakfast in month Jan to Aug?,Gross Sales,Breakfast,NA,NA
fetch Gross Sales  Bacon in year 2019?,Gross Sales,NA,Bacon,NA
get Gross Sales  Candy in month Mar to Oct?,Gross Sales,Candy,NA,NA
display Gross Sales  UNIFI in year 2019?,Gross Sales,NA,NA,UNIFI
fetch Count  Dollar General in month Jun to Aug?,Count,NA,NA,Dollar General
get Bottom Line  Shelf Stable in quarter Q4?,Bottom Line,NA,Shelf Stable,NA
display Bottom Line  Publix in week Wk9 to Wk42?,Bottom Line,NA,NA,Publix
fetch Gross Sales  Coffee in year 2019?,Gross Sales,NA,Coffee,NA
display Revenue  Ketchup in quarter Q1 to Q4?,Revenue,NA,Ketchup,NA
get Bottom Line  Walmart in quarter Q3?,Bottom Line,NA,NA,Walmart
generate Net sales  Processed Cheese in month Mar to Aug?,Net sales,NA,Processed Cheese,NA
generate Gross Sales  Breakfast in quarter Q2?,Gross Sales,Breakfast,NA,NA
fetch Revenue  Cheese in month Feb to Aug?,Revenue,Cheese,NA,NA
generate Bottom Line  Breakfast in month Nov?,Bottom Line,Breakfast,NA,NA
fetch Max Shipment  Bars/Snacks in year 2019?,Max Shipment,NA,Bars/Snacks,NA
display Gross Sales  Bars/Snacks in year 2019?,Gross Sales,NA,Bars/Snacks,NA
fetch Net sales  UNIFI in week Wk14 to Wk46?,Net sales,NA,NA,UNIFI
get Bottom Line  Hot Dogs in quarter Q2?,Bottom Line,NA,Hot Dogs,NA
fetch Gross Sales  Target in quarter Q2 to Q4?,Gross Sales,NA,NA,Target
get Count  Aldi in month Jan?,Count,NA,NA,Aldi
get Top Line  Sauces in month Apr to Nov?,Top Line,Sauces,NA,NA
generate Count  Ahold in quarter Q4?,Count,NA,NA,Ahold
get Count  Creamers in month Mar to Sep?,Count,NA,Creamers,NA
generate Revenue  Amazon in week Wk12?,Revenue,NA,NA,Amazon
display Bottom Line  Hot Dogs in quarter Q2 to Q4?,Bottom Line,NA,Hot Dogs,NA
get Count  Coffee in week Wk31?,Count,NA,Coffee,NA
get Bottom Line  UNIFI in week Wk7 to Wk27?,Bottom Line,NA,NA,UNIFI
generate Gross Sales  Breakfast in month Dec?,Gross Sales,Breakfast,NA,NA
fetch Top Line  Natural Cheese in quarter Q2 to Q4?,Top Line,NA,Natural Cheese,NA
display Net sales  Breakfast in week Wk30?,Net sales,Breakfast,NA,NA
fetch Max Shipment  Meats in year 2019?,Max Shipment,Meats,NA,NA
display Top Line  Caramels in quarter Q4?,Top Line,NA,Caramels,NA
display Count  Bacon in quarter Q1 to Q4?,Count,NA,Bacon,NA
get Gross Sales  Costco in month May?,Gross Sales,NA,NA,Costco
get Bottom Line  Dollar General in week Wk17 to Wk28?,Bottom Line,NA,NA,Dollar General
get Bottom Line  Hard in month Oct?,Bottom Line,NA,Hard,NA
generate Revenue  UNIFI in quarter Q2 to Q4?,Revenue,NA,NA,UNIFI
get Top Line  Grated in quarter Q2?,Top Line,NA,Grated,NA
fetch Net sales  Hard in month Apr to Dec?,Net sales,NA,Hard,NA
fetch Max Shipment  Aldi in year 2019?,Max Shipment,NA,NA,Aldi
generate Gross Sales  Candy in month May to Nov?,Gross Sales,Candy,NA,NA
get Revenue  Sauces in quarter Q1?,Revenue,Sauces,NA,NA
generate Net sales  Costco in quarter Q1 to Q4?,Net sales,NA,NA,Costco
generate Net sales  Aldi in week Wk19?,Net sales,NA,NA,Aldi
get Net sales  Enhancers in year 2019?,Net sales,NA,Enhancers,NA
get Gross Sales  Breakfast in quarter Q4?,Gross Sales,Breakfast,NA,NA
get Count  Sauces in month Apr to Oct?,Count,Sauces,NA,NA
display Bottom Line  Chocolate in quarter Q1?,Bottom Line,NA,Chocolate,NA
fetch Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
display Revenue  Albertsons/Safeway in month Jun?,Revenue,NA,NA,Albertsons/Safeway
display Top Line  Kroger in year 2019?,Top Line,NA,NA,Kroger
get Bottom Line  Caramels in year 2019?,Bottom Line,NA,Caramels,NA
get Top Line  Cheese in quarter Q1 to Q4?,Top Line,Cheese,NA,NA
generate Revenue  Sauces in month Mar?,Revenue,Sauces,NA,NA
generate Count  UNIFI in month Jun to Aug?,Count,NA,NA,UNIFI
generate Gross Sales  Natural Cheese in year 2019?,Gross Sales,NA,Natural Cheese,NA
fetch Net sales  Specialty Meats in quarter Q1 to Q4?,Net sales,NA,Specialty Meats,NA
display Count  Tea in week Wk5?,Count,NA,Tea,NA
generate Net sales  Chocolate in quarter Q1 to Q4?,Net sales,NA,Chocolate,NA
get Count  Walmart in week Wk52?,Count,NA,NA,Walmart
display Max Shipment  All others in week Wk2 to Wk27?,Max Shipment,NA,All others,NA
generate Bottom Line  Publix in year 2019?,Bottom Line,NA,NA,Publix
display Revenue  Enhancers in quarter Q1 to Q4?,Revenue,NA,Enhancers,NA
fetch Net sales  Candy in week Wk8?,Net sales,Candy,NA,NA
fetch Gross Sales  Target in month Apr to Sep?,Gross Sales,NA,NA,Target
fetch Net sales  Meats in month Feb?,Net sales,Meats,NA,NA
display Gross Sales  Publix in month Apr to Oct?,Gross Sales,NA,NA,Publix
display Net sales  Meats in year 2019?,Net sales,Meats,NA,NA
fetch Revenue  Juice in quarter Q1 to Q4?,Revenue,NA,Juice,NA
display Revenue  Publix in year 2019?,Revenue,NA,NA,Publix
generate Revenue  Cheese in month Mar to Oct?,Revenue,Cheese,NA,NA
get Count  Albertsons/Safeway in month Dec?,Count,NA,NA,Albertsons/Safeway
get Top Line  Sauces in week Wk20 to Wk33?,Top Line,Sauces,NA,NA
generate Gross Sales  Target in month Dec?,Gross Sales,NA,NA,Target
generate Bottom Line  Natural Cheese in month May to Oct?,Bottom Line,NA,Natural Cheese,NA
get Top Line  Costco in quarter Q2?,Top Line,NA,NA,Costco
get Revenue  Bars/Snacks in quarter Q1 to Q4?,Revenue,NA,Bars/Snacks,NA
generate Max Shipment  Grated in week Wk51?,Max Shipment,NA,Grated,NA
generate Count  Chocolate in month Mar to Sep?,Count,NA,Chocolate,NA
get Net sales  Cold Cuts in quarter Q1?,Net sales,NA,Cold Cuts,NA
get Top Line  Shelf Stable in year 2019?,Top Line,NA,Shelf Stable,NA
get Bottom Line  Coffee in month Feb?,Bottom Line,NA,Coffee,NA
generate Net sales  Tea in quarter Q1 to Q4?,Net sales,NA,Tea,NA
display Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
get Max Shipment  Dollar General in quarter Q2 to Q4?,Max Shipment,NA,NA,Dollar General
get Bottom Line  Breakfast in year 2019?,Bottom Line,Breakfast,NA,NA
display Bottom Line  Meats in week Wk11 to Wk50?,Bottom Line,Meats,NA,NA
display Bottom Line  Amazon in quarter Q2?,Bottom Line,NA,NA,Amazon
get Count  Publix in year 2019?,Count,NA,NA,Publix
generate Top Line  Chocolate in week Wk7?,Top Line,NA,Chocolate,NA
fetch Max Shipment  Candy in quarter Q2 to Q4?,Max Shipment,Candy,NA,NA
generate Top Line  Meats in month Jun?,Top Line,Meats,NA,NA
display Gross Sales  Hot Dogs in quarter Q2 to Q4?,Gross Sales,NA,Hot Dogs,NA
get Gross Sales  Sauces in month Jan?,Gross Sales,Sauces,NA,NA
fetch Count  Caramels in week Wk23 to Wk36?,Count,NA,Caramels,NA
generate Net sales  Cold Cuts in month Dec?,Net sales,NA,Cold Cuts,NA
get Bottom Line  Breakfast in month Apr to Dec?,Bottom Line,Breakfast,NA,NA
get Top Line  Publix in quarter Q1?,Top Line,NA,NA,Publix
fetch Gross Sales  All others in quarter Q1 to Q4?,Gross Sales,NA,All others,NA
display Gross Sales  Grated in month Jun?,Gross Sales,NA,Grated,NA
get Revenue  Dollar General in month May to Sep?,Revenue,NA,NA,Dollar General
fetch Gross Sales  Coffee in week Wk2?,Gross Sales,NA,Coffee,NA
generate Gross Sales  Grated in week Wk19 to Wk32?,Gross Sales,NA,Grated,NA
