English_Queries,Task,Category,Sub_Category,Customer
get Count  Sauces in year 2019?,Count,Sauces,NA,NA
display Max Shipment  Shelf Stable in year 2019?,Max Shipment,NA,Shelf Stable,NA
fetch Net sales  Gelatin in quarter Q1 to Q4?,Net sales,NA,Gelatin,NA
display Bottom Line  Natural Cheese in month Jun?,Bottom Line,NA,Natural Cheese,NA
get Count  Publix in week Wk19 to Wk50?,Count,NA,NA,Publix
fetch Max Shipment  Dollar General in week Wk49?,Max Shipment,NA,NA,Dollar General
fetch Bottom Line  Publix in month Jan to Nov?,Bottom Line,NA,NA,Publix
get Top Line  UNIFI in week Wk37?,Top Line,NA,NA,UNIFI
fetch Max Shipment  Publix in year 2019?,Max Shipment,NA,NA,Publix
fetch Count  Albertsons/Safeway in month Jan?,Count,NA,NA,Albertsons/Safeway
fetch Max Shipment  Sauces in year 2019?,Max Shipment,Sauces,NA,NA
get Bottom Line  Cheese in month Feb?,Bottom Line,Cheese,NA,NA
generate Max Shipment  Candy in year 2019?,Max Shipment,Candy,NA,NA
fetch Top Line  Walmart in quarter Q3?,Top Line,NA,NA,Walmart
get Net sales  UNIFI in quarter Q1 to Q4?,Net sales,NA,NA,UNIFI
generate Bottom Line  Dollar General in week Wk50?,Bottom Line,NA,NA,Dollar General
display Max Shipment  Creamers in quarter Q2 to Q4?,Max Shipment,NA,Creamers,NA
display Net sales  Shelf Stable in month Jun?,Net sales,NA,Shelf Stable,NA
get Count  Costco in week Wk24 to Wk35?,Count,NA,NA,Costco
fetch Bottom Line  Breakfast in year 2019?,Bottom Line,Breakfast,NA,NA
get Top Line  Kroger in quarter Q1 to Q4?,Top Line,NA,NA,Kroger
generate Revenue  Publix in quarter Q4?,Revenue,NA,NA,Publix
fetch Top Line  Chocolate in year 2019?,Top Line,NA,Chocolate,NA
display Count  Aldi in quarter Q2?,Count,NA,NA,Aldi
generate Max Shipment  Ahold in month Jan to Dec?,Max Shipment,NA,NA,Ahold
get Top Line  Tea in week Wk33?,Top Line,NA,Tea,NA
get Net sales  Bars/Snacks in week Wk13 to Wk30?,Net sales,NA,Bars/Snacks,NA
generate Revenue  UNIFI in year 2019?,Revenue,NA,NA,UNIFI
get Top Line  Grated in quarter Q1 to Q4?,Top Line,NA,Grated,NA
generate Gross Sales  Target in week Wk48?,Gross Sales,NA,NA,Target
fetch Revenue  Processed Cheese in week Wk15 to Wk35?,Revenue,NA,Processed Cheese,NA
fetch Count  Kroger in week Wk5?,Count,NA,NA,Kroger
fetch Revenue  Kroger in month Apr to Sep?,Revenue,NA,NA,Kroger
generate Top Line  Meats in week Wk39?,Top Line,Meats,NA,NA
get Revenue  Hot Dogs in year 2019?,Revenue,NA,Hot Dogs,NA
generate Net sales  Sauces in quarter Q3?,Net sales,Sauces,NA,NA
fetch Net sales  Caramels in quarter Q1 to Q4?,Net sales,NA,Caramels,NA
get Bottom Line  Ahold in week Wk2?,Bottom Line,NA,NA,Ahold
get Max Shipment  Natural Cheese in month Jun to Sep?,Max Shipment,NA,Natural Cheese,NA
fetch Gross Sales  Ahold in year 2019?,Gross Sales,NA,NA,Ahold
get Revenue  Enhancers in quarter Q2 to Q4?,Revenue,NA,Enhancers,NA
get Gross Sales  Cheese in week Wk5?,Gross Sales,Cheese,NA,NA
display Net sales  Ketchup in year 2019?,Net sales,NA,Ketchup,NA
get Count  Meats in month Jan?,Count,Meats,NA,NA
get Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
fetch Net sales  Mayonaise in week Wk41?,Net sales,NA,Mayonaise,NA
get Net sales  Caramels in quarter Q2 to Q4?,Net sales,NA,Caramels,NA
generate Count  Candy in week Wk14?,Count,Candy,NA,NA
fetch Gross Sales  Cheese in month Jan to Sep?,Gross Sales,Cheese,NA,NA
display Revenue  Aldi in year 2019?,Revenue,NA,NA,Aldi
generate Net sales  Ahold in quarter Q2 to Q4?,Net sales,NA,NA,Ahold
display Count  Kroger in week Wk33?,Count,NA,NA,Kroger
get Net sales  Sauces in week Wk6 to Wk30?,Net sales,Sauces,NA,NA
display Revenue  UNIFI in quarter Q4?,Revenue,NA,NA,UNIFI
generate Net sales  Sauces in week Wk18 to Wk39?,Net sales,Sauces,NA,NA
fetch Max Shipment  Publix in quarter Q3?,Max Shipment,NA,NA,Publix
display Revenue  Target in year 2019?,Revenue,NA,NA,Target
fetch Net sales  Meats in quarter Q1?,Net sales,Meats,NA,NA
generate Bottom Line  Candy in week Wk6 to Wk38?,Bottom Line,Candy,NA,NA
generate Top Line  Costco in year 2019?,Top Line,NA,NA,Costco
generate Revenue  Coffee in month Jan to Nov?,Revenue,NA,Coffee,NA
fetch Net sales  UNIFI in year 2019?,Net sales,NA,NA,UNIFI
get Top Line  Walmart in month Jun to Nov?,Top Line,NA,NA,Walmart
get Top Line  Specialty Meats in quarter Q2?,Top Line,NA,Specialty Meats,NA
generate Net sales  UNIFI in week Wk8 to Wk38?,Net sales,NA,NA,UNIFI
get Net sales  Processed Cheese in week Wk4?,Net sales,NA,Processed Cheese,NA
display Gross Sales  Breakfast in quarter Q2 to Q4?,Gross Sales,Breakfast,NA,NA
get Top Line  Hard in week Wk14?,Top Line,NA,Hard,NA
display Revenue  Walmart in year 2019?,Revenue,NA,NA,Walmart
display Max Shipment  Meats in year 2019?,Max Shipment,Meats,NA,NA
generate Revenue  Natural Cheese in year 2019?,Revenue,NA,Natural Cheese,NA
display Top Line  Publix in month Dec?,Top Line,NA,NA,Publix
get Count  Chocolate in quarter Q1 to Q4?,Count,NA,Chocolate,NA
generate Net sales  Meats in year 2019?,Net sales,Meats,NA,NA
display Gross Sales  Albertsons/Safeway in week Wk10 to Wk28?,Gross Sales,NA,NA,Albertsons/Safeway
get Net sales  Cheese in week Wk4?,Net sales,Cheese,NA,NA
get Revenue  Sauces in year 2019?,Revenue,Sauces,NA,NA
display Net sales  Breakfast in quarter Q3?,Net sales,Breakfast,NA,NA
generate Gross Sales  Hot Dogs in week Wk4 to Wk35?,Gross Sales,NA,Hot Dogs,NA
get Max Shipment  Albertsons/Safeway in quarter Q4?,Max Shipment,NA,NA,Albertsons/Safeway
generate Count  Shelf Stable in month Apr to Aug?,Count,NA,Shelf Stable,NA
get Revenue  Meats in year 2019?,Revenue,Meats,NA,NA
get Gross Sales  Candy in month Jan to Sep?,Gross Sales,Candy,NA,NA
get Top Line  Meats in year 2019?,Top Line,Meats,NA,NA
generate Bottom Line  Dollar General in month Apr to Oct?,Bottom Line,NA,NA,Dollar General
get Bottom Line  Enhancers in quarter Q1?,Bottom Line,NA,Enhancers,NA
generate Count  Sauces in month Apr to Nov?,Count,Sauces,NA,NA
fetch Bottom Line  Kroger in year 2019?,Bottom Line,NA,NA,Kroger
generate Revenue  Ahold in year 2019?,Revenue,NA,NA,Ahold
generate Gross Sales  Ketchup in year 2019?,Gross Sales,NA,Ketchup,NA
display Count  Breakfast in quarter Q1 to Q4?,Count,Breakfast,NA,NA
fetch Count  Kroger in quarter Q3?,Count,NA,NA,Kroger
display Revenue  All others in week Wk18 to Wk41?,Revenue,NA,All others,NA
fetch Bottom Line  Sauces in month Nov?,Bottom Line,Sauces,NA,NA
get Revenue  UNIFI in month Jan to Dec?,Revenue,NA,NA,UNIFI
get Revenue  Candy in quarter Q1?,Revenue,Candy,NA,NA
generate Bottom Line  Hot Dogs in month Jun to Sep?,Bottom Line,NA,Hot Dogs,NA
generate Top Line  Enhancers in month Feb?,Top Line,NA,Enhancers,NA
display Revenue  Dollar General in quarter Q1 to Q4?,Revenue,NA,NA,Dollar General
display Revenue  UNIFI in month Oct?,Revenue,NA,NA,UNIFI
display Net sales  Bars/Snacks in week Wk2 to Wk32?,Net sales,NA,Bars/Snacks,NA
get Gross Sales  Albertsons/Safeway in year 2019?,Gross Sales,NA,NA,Albertsons/Safeway
display Max Shipment  Meats in quarter Q1 to Q4?,Max Shipment,Meats,NA,NA
get Bottom Line  Processed Cheese in year 2019?,Bottom Line,NA,Processed Cheese,NA
display Count  Processed Cheese in month Jun to Nov?,Count,NA,Processed Cheese,NA
get Count  Candy in month Nov?,Count,Candy,NA,NA
display Revenue  Candy in year 2019?,Revenue,Candy,NA,NA
display Count  Hard in quarter Q1?,Count,NA,Hard,NA
generate Top Line  Amazon in week Wk20 to Wk34?,Top Line,NA,NA,Amazon
get Gross Sales  BBQ in quarter Q4?,Gross Sales,NA,BBQ,NA
display Max Shipment  Candy in week Wk13 to Wk39?,Max Shipment,Candy,NA,NA
get Count  Meats in week Wk29?,Count,Meats,NA,NA
fetch Count  Dollar General in year 2019?,Count,NA,NA,Dollar General
generate Bottom Line  Aldi in year 2019?,Bottom Line,NA,NA,Aldi
display Top Line  Cheese in quarter Q2 to Q4?,Top Line,Cheese,NA,NA
display Count  Bacon in year 2019?,Count,NA,Bacon,NA
generate Bottom Line  Sauces in month Apr to Oct?,Bottom Line,Sauces,NA,NA
fetch Count  UNIFI in week Wk8?,Count,NA,NA,UNIFI
get Top Line  Candy in month May to Dec?,Top Line,Candy,NA,NA
get Max Shipment  Publix in quarter Q2?,Max Shipment,NA,NA,Publix
get Bottom Line  Bars/Snacks in month Apr to Nov?,Bottom Line,NA,Bars/Snacks,NA
generate Net sales  Cheese in week Wk20?,Net sales,Cheese,NA,NA
get Max Shipment  Shelf Stable in week Wk22 to Wk35?,Max Shipment,NA,Shelf Stable,NA
generate Revenue  Meats in year 2019?,Revenue,Meats,NA,NA
display Top Line  Breakfast in year 2019?,Top Line,Breakfast,NA,NA
get Count  Meats in week Wk10?,Count,Meats,NA,NA
generate Bottom Line  Ketchup in week Wk20 to Wk40?,Bottom Line,NA,Ketchup,NA
display Bottom Line  UNIFI in year 2019?,Bottom Line,NA,NA,UNIFI
get Net sales  Mayonaise in quarter Q2 to Q4?,Net sales,NA,Mayonaise,NA
display Max Shipment  Bars/Snacks in quarter Q4?,Max Shipment,NA,Bars/Snacks,NA
display Gross Sales  Ahold in week Wk25 to Wk35?,Gross Sales,NA,NA,Ahold
display Max Shipment  Kroger in year 2019?,Max Shipment,NA,NA,Kroger
fetch Max Shipment  Gelatin in quarter Q2 to Q4?,Max Shipment,NA,Gelatin,NA
display Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
get Max Shipment  Bars/Snacks in week Wk20 to Wk28?,Max Shipment,NA,Bars/Snacks,NA
fetch Bottom Line  Aldi in week Wk47?,Bottom Line,NA,NA,Aldi
fetch Revenue  Sauces in month Jan to Dec?,Revenue,Sauces,NA,NA
generate Max Shipment  Hot Dogs in year 2019?,Max Shipment,NA,Hot Dogs,NA
display Revenue  Candy in year 2019?,Revenue,Candy,NA,NA
generate Count  Walmart in quarter Q1?,Count,NA,NA,Walmart
get Bottom Line  Cheese in month Apr to Dec?,Bottom Line,Cheese,NA,NA
generate Bottom Line  Sauces in week Wk6?,Bottom Line,Sauces,NA,NA
generate Gross Sales  Costco in year 2019?,Gross Sales,NA,NA,Costco
get Top Line  Candy in year 2019?,Top Line,Candy,NA,NA
display Max Shipment  Sauces in week Wk12 to Wk43?,Max Shipment,Sauces,NA,NA
fetch Bottom Line  Breakfast in week Wk3?,Bottom Line,Breakfast,NA,NA
fetch Max Shipment  Cheese in quarter Q1 to Q4?,Max Shipment,Cheese,NA,NA
display Top Line  Cold Cuts in month Jul?,Top Line,NA,Cold Cuts,NA
generate Top Line  Amazon in quarter Q1 to Q4?,Top Line,NA,NA,Amazon
fetch Bottom Line  Breakfast in month Jun?,Bottom Line,Breakfast,NA,NA
generate Gross Sales  Enhancers in week Wk7 to Wk30?,Gross Sales,NA,Enhancers,NA
display Bottom Line  Meats in year 2019?,Bottom Line,Meats,NA,NA
generate Top Line  Caramels in year 2019?,Top Line,NA,Caramels,NA
get Bottom Line  Meats in month Oct?,Bottom Line,Meats,NA,NA
get Bottom Line  Meats in year 2019?,Bottom Line,Meats,NA,NA
fetch Revenue  Ahold in month Aug?,Revenue,NA,NA,Ahold
get Bottom Line  Creamers in month Jun to Nov?,Bottom Line,NA,Creamers,NA
display Bottom Line  Breakfast in month Nov?,Bottom Line,Breakfast,NA,NA
get Net sales  Breakfast in month Jan to Oct?,Net sales,Breakfast,NA,NA
generate Count  Albertsons/Safeway in month May?,Count,NA,NA,Albertsons/Safeway
fetch Net sales  Albertsons/Safeway in month Jun to Oct?,Net sales,NA,NA,Albertsons/Safeway
display Revenue  Juice in week Wk5?,Revenue,NA,Juice,NA
generate Revenue  Juice in year 2019?,Revenue,NA,Juice,NA
fetch Gross Sales  Ahold in quarter Q1?,Gross Sales,NA,NA,Ahold
generate Net sales  Meats in month Feb to Oct?,Net sales,Meats,NA,NA
fetch Gross Sales  Dollar General in week Wk29?,Gross Sales,NA,NA,Dollar General
generate Max Shipment  Hot Dogs in month Apr to Sep?,Max Shipment,NA,Hot Dogs,NA
get Gross Sales  Candy in year 2019?,Gross Sales,Candy,NA,NA
fetch Bottom Line  Breakfast in year 2019?,Bottom Line,Breakfast,NA,NA
generate Net sales  Costco in quarter Q1?,Net sales,NA,NA,Costco
display Count  Ahold in week Wk8 to Wk50?,Count,NA,NA,Ahold
generate Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
display Bottom Line  Dollar General in year 2019?,Bottom Line,NA,NA,Dollar General
generate Max Shipment  UNIFI in quarter Q2?,Max Shipment,NA,NA,UNIFI
generate Net sales  Publix in week Wk17 to Wk47?,Net sales,NA,NA,Publix
get Max Shipment  Chocolate in quarter Q2?,Max Shipment,NA,Chocolate,NA
display Gross Sales  Mayonaise in quarter Q2 to Q4?,Gross Sales,NA,Mayonaise,NA
fetch Gross Sales  Creamers in week Wk51?,Gross Sales,NA,Creamers,NA
generate Gross Sales  Amazon in year 2019?,Gross Sales,NA,NA,Amazon
fetch Bottom Line  Ahold in month Dec?,Bottom Line,NA,NA,Ahold
fetch Bottom Line  Creamers in quarter Q2 to Q4?,Bottom Line,NA,Creamers,NA
display Net sales  Publix in year 2019?,Net sales,NA,NA,Publix
get Bottom Line  Caramels in year 2019?,Bottom Line,NA,Caramels,NA
generate Net sales  Sauces in month Jan?,Net sales,Sauces,NA,NA
fetch Max Shipment  Albertsons/Safeway in month Feb to Dec?,Max Shipment,NA,NA,Albertsons/Safeway
get Net sales  Ketchup in month Oct?,Net sales,NA,Ketchup,NA
generate Max Shipment  Candy in month Mar to Nov?,Max Shipment,Candy,NA,NA
display Count  Mayonaise in month Feb?,Count,NA,Mayonaise,NA
display Gross Sales  Breakfast in quarter Q1 to Q4?,Gross Sales,Breakfast,NA,NA
display Revenue  Cheese in year 2019?,Revenue,Cheese,NA,NA
generate Net sales  Gelatin in year 2019?,Net sales,NA,Gelatin,NA
get Top Line  Sauces in month Dec?,Top Line,Sauces,NA,NA
display Revenue  Meats in month Jan to Aug?,Revenue,Meats,NA,NA
display Top Line  Shelf Stable in year 2019?,Top Line,NA,Shelf Stable,NA
display Gross Sales  Sauces in year 2019?,Gross Sales,Sauces,NA,NA
get Count  Hot Dogs in year 2019?,Count,NA,Hot Dogs,NA
generate Count  Ketchup in quarter Q2 to Q4?,Count,NA,Ketchup,NA
display Top Line  Dollar General in month Nov?,Top Line,NA,NA,Dollar General
get Net sales  Hard in year 2019?,Net sales,NA,Hard,NA
fetch Bottom Line  Hot Dogs in week Wk16?,Bottom Line,NA,Hot Dogs,NA
display Net sales  Cheese in month Mar to Oct?,Net sales,Cheese,NA,NA
get Max Shipment  Creamers in month Jun?,Max Shipment,NA,Creamers,NA
get Gross Sales  Sauces in month Jan to Oct?,Gross Sales,Sauces,NA,NA
get Top Line  Meats in month Feb?,Top Line,Meats,NA,NA
get Top Line  Cheese in week Wk2 to Wk39?,Top Line,Cheese,NA,NA
generate Top Line  Breakfast in quarter Q1?,Top Line,Breakfast,NA,NA
get Count  Walmart in year 2019?,Count,NA,NA,Walmart
display Net sales  Meats in month Jan?,Net sales,Meats,NA,NA
display Net sales  Target in month Jan to Dec?,Net sales,NA,NA,Target
get Top Line  Processed Cheese in quarter Q3?,Top Line,NA,Processed Cheese,NA
generate Count  Meats in week Wk12 to Wk37?,Count,Meats,NA,NA
get Bottom Line  Creamers in month Nov?,Bottom Line,NA,Creamers,NA
display Count  Shelf Stable in year 2019?,Count,NA,Shelf Stable,NA
get Count  Publix in week Wk31?,Count,NA,NA,Publix
get Top Line  Sauces in quarter Q2 to Q4?,Top Line,Sauces,NA,NA
generate Net sales  Candy in week Wk43?,Net sales,Candy,NA,NA
generate Top Line  Cheese in year 2019?,Top Line,Cheese,NA,NA
fetch Top Line  Tea in month Feb?,Top Line,NA,Tea,NA
generate Top Line  Breakfast in quarter Q2 to Q4?,Top Line,Breakfast,NA,NA
get Max Shipment  Candy in year 2019?,Max Shipment,Candy,NA,NA
fetch Count  Processed Cheese in quarter Q2 to Q4?,Count,NA,Processed Cheese,NA
generate Revenue  Sauces in quarter Q3?,Revenue,Sauces,NA,NA
get Net sales  Breakfast in week Wk24 to Wk27?,Net sales,Breakfast,NA,NA
display Count  Natural Cheese in quarter Q2?,Count,NA,Natural Cheese,NA
fetch Gross Sales  Enhancers in year 2019?,Gross Sales,NA,Enhancers,NA
fetch Count  Bacon in year 2019?,Count,NA,Bacon,NA
fetch Net sales  Bars/Snacks in week Wk2 to Wk29?,Net sales,NA,Bars/Snacks,NA
fetch Bottom Line  Shelf Stable in year 2019?,Bottom Line,NA,Shelf Stable,NA
fetch Count  Candy in year 2019?,Count,Candy,NA,NA
generate Net sales  Sauces in month Oct?,Net sales,Sauces,NA,NA
fetch Top Line  Bars/Snacks in quarter Q2 to Q4?,Top Line,NA,Bars/Snacks,NA
display Top Line  Publix in quarter Q1?,Top Line,NA,NA,Publix
generate Revenue  Ahold in year 2019?,Revenue,NA,NA,Ahold
get Bottom Line  Meats in quarter Q4?,Bottom Line,Meats,NA,NA
get Top Line  Tea in month May to Nov?,Top Line,NA,Tea,NA
get Max Shipment  Cold Cuts in quarter Q2?,Max Shipment,NA,Cold Cuts,NA
display Max Shipment  Cheese in quarter Q2 to Q4?,Max Shipment,Cheese,NA,NA
get Revenue  Natural Cheese in month Apr?,Revenue,NA,Natural Cheese,NA
fetch Max Shipment  Juice in quarter Q2 to Q4?,Max Shipment,NA,Juice,NA
get Top Line  Target in quarter Q4?,Top Line,NA,NA,Target
fetch Bottom Line  Costco in month Mar to Dec?,Bottom Line,NA,NA,Costco
display Top Line  Meats in quarter Q4?,Top Line,Meats,NA,NA
generate Bottom Line  Albertsons/Safeway in week Wk21 to Wk41?,Bottom Line,NA,NA,Albertsons/Safeway
fetch Bottom Line  Candy in quarter Q2?,Bottom Line,Candy,NA,NA
generate Count  Publix in month Jan to Aug?,Count,NA,NA,Publix
get Bottom Line  Cheese in quarter Q2?,Bottom Line,Cheese,NA,NA
get Top Line  Kroger in week Wk24 to Wk30?,Top Line,NA,NA,Kroger
fetch Top Line  Candy in year 2019?,Top Line,Candy,NA,NA
display Max Shipment  All others in month Mar to Nov?,Max Shipment,NA,All others,NA
generate Net sales  Bars/Snacks in month Feb?,Net sales,NA,Bars/Snacks,NA
fetch Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA
generate Revenue  Bacon in quarter Q3?,Revenue,NA,Bacon,NA
fetch Count  BBQ in week Wk10 to Wk49?,Count,NA,BBQ,NA
get Gross Sales  Grated in month Aug?,Gross Sales,NA,Grated,NA
generate Net sales  UNIFI in week Wk23 to Wk34?,Net sales,NA,NA,UNIFI
generate Revenue  Breakfast in month Jul?,Revenue,Breakfast,NA,NA
get Max Shipment  Bacon in month Feb to Sep?,Max Shipment,NA,Bacon,NA
display Gross Sales  Cold Cuts in year 2019?,Gross Sales,NA,Cold Cuts,NA
fetch Gross Sales  Caramels in week Wk6 to Wk34?,Gross Sales,NA,Caramels,NA
get Top Line  Sauces in quarter Q2?,Top Line,Sauces,NA,NA
get Count  Chocolate in quarter Q2 to Q4?,Count,NA,Chocolate,NA
get Net sales  Processed Cheese in month Sep?,Net sales,NA,Processed Cheese,NA
get Net sales  Dollar General in month Jan to Sep?,Net sales,NA,NA,Dollar General
generate Max Shipment  Mayonaise in year 2019?,Max Shipment,NA,Mayonaise,NA
generate Bottom Line  Meats in quarter Q1 to Q4?,Bottom Line,Meats,NA,NA
generate Bottom Line  Amazon in month Feb?,Bottom Line,NA,NA,Amazon
fetch Gross Sales  Creamers in quarter Q1 to Q4?,Gross Sales,NA,Creamers,NA
display Revenue  Publix in week Wk47?,Revenue,NA,NA,Publix
get Revenue  Cheese in year 2019?,Revenue,Cheese,NA,NA
display Gross Sales  Albertsons/Safeway in year 2019?,Gross Sales,NA,NA,Albertsons/Safeway
generate Count  Dollar General in quarter Q2 to Q4?,Count,NA,NA,Dollar General
fetch Net sales  Amazon in week Wk4?,Net sales,NA,NA,Amazon
fetch Count  Sauces in year 2019?,Count,Sauces,NA,NA
get Net sales  Costco in month Oct?,Net sales,NA,NA,Costco
display Count  Meats in month Apr to Dec?,Count,Meats,NA,NA
get Net sales  Enhancers in week Wk2?,Net sales,NA,Enhancers,NA
display Net sales  Sauces in month Mar to Dec?,Net sales,Sauces,NA,NA
get Revenue  Aldi in week Wk2?,Revenue,NA,NA,Aldi
fetch Gross Sales  Ahold in quarter Q1 to Q4?,Gross Sales,NA,NA,Ahold
generate Count  Cheese in quarter Q1?,Count,Cheese,NA,NA
get Bottom Line  Breakfast in quarter Q1 to Q4?,Bottom Line,Breakfast,NA,NA
fetch Top Line  Albertsons/Safeway in quarter Q1?,Top Line,NA,NA,Albertsons/Safeway
fetch Revenue  Enhancers in year 2019?,Revenue,NA,Enhancers,NA
fetch Revenue  Publix in year 2019?,Revenue,NA,NA,Publix
generate Revenue  BBQ in quarter Q1 to Q4?,Revenue,NA,BBQ,NA
display Revenue  Albertsons/Safeway in week Wk27?,Revenue,NA,NA,Albertsons/Safeway
get Gross Sales  Candy in week Wk1 to Wk40?,Gross Sales,Candy,NA,NA
get Top Line  Cheese in year 2019?,Top Line,Cheese,NA,NA
get Count  Cheese in month May to Aug?,Count,Cheese,NA,NA
fetch Top Line  Ahold in year 2019?,Top Line,NA,NA,Ahold
fetch Gross Sales  Cheese in quarter Q1 to Q4?,Gross Sales,Cheese,NA,NA
display Top Line  Tea in week Wk36?,Top Line,NA,Tea,NA
display Net sales  Dollar General in month Apr to Dec?,Net sales,NA,NA,Dollar General
generate Bottom Line  Sauces in year 2019?,Bottom Line,Sauces,NA,NA
fetch Gross Sales  Breakfast in week Wk24 to Wk27?,Gross Sales,Breakfast,NA,NA
display Revenue  Candy in month Nov?,Revenue,Candy,NA,NA
fetch Top Line  Dollar General in year 2019?,Top Line,NA,NA,Dollar General
fetch Bottom Line  Coffee in week Wk4?,Bottom Line,NA,Coffee,NA
get Top Line  Target in quarter Q1 to Q4?,Top Line,NA,NA,Target
fetch Revenue  Juice in quarter Q3?,Revenue,NA,Juice,NA
generate Bottom Line  Amazon in month Jan to Nov?,Bottom Line,NA,NA,Amazon
display Gross Sales  Bars/Snacks in week Wk38?,Gross Sales,NA,Bars/Snacks,NA
get Top Line  Dollar General in week Wk21 to Wk39?,Top Line,NA,NA,Dollar General
display Max Shipment  Ahold in year 2019?,Max Shipment,NA,NA,Ahold
display Revenue  Breakfast in week Wk13 to Wk34?,Revenue,Breakfast,NA,NA
fetch Revenue  Sauces in week Wk14?,Revenue,Sauces,NA,NA
generate Revenue  Natural Cheese in month Jan to Sep?,Revenue,NA,Natural Cheese,NA
get Count  Shelf Stable in month Feb?,Count,NA,Shelf Stable,NA
generate Top Line  Costco in month Apr to Oct?,Top Line,NA,NA,Costco
get Revenue  Cheese in year 2019?,Revenue,Cheese,NA,NA
generate Gross Sales  Publix in quarter Q2 to Q4?,Gross Sales,NA,NA,Publix
display Count  Bars/Snacks in year 2019?,Count,NA,Bars/Snacks,NA
generate Top Line  Cheese in month Apr to Aug?,Top Line,Cheese,NA,NA
fetch Max Shipment  Cheese in quarter Q3?,Max Shipment,Cheese,NA,NA
fetch Bottom Line  Target in year 2019?,Bottom Line,NA,NA,Target
display Bottom Line  Processed Cheese in month Jan?,Bottom Line,NA,Processed Cheese,NA
display Revenue  Breakfast in quarter Q2 to Q4?,Revenue,Breakfast,NA,NA
generate Count  Aldi in quarter Q4?,Count,NA,NA,Aldi
fetch Top Line  Ahold in quarter Q1 to Q4?,Top Line,NA,NA,Ahold
display Gross Sales  UNIFI in year 2019?,Gross Sales,NA,NA,UNIFI
display Top Line  Kroger in quarter Q1 to Q4?,Top Line,NA,NA,Kroger
fetch Max Shipment  Ahold in quarter Q2?,Max Shipment,NA,NA,Ahold
generate Revenue  Costco in week Wk16 to Wk29?,Revenue,NA,NA,Costco
display Revenue  Bars/Snacks in month Apr?,Revenue,NA,Bars/Snacks,NA
generate Count  Dollar General in week Wk11 to Wk33?,Count,NA,NA,Dollar General
generate Count  Cheese in month Jul?,Count,Cheese,NA,NA
display Max Shipment  Bacon in month Jan to Sep?,Max Shipment,NA,Bacon,NA
generate Count  Breakfast in year 2019?,Count,Breakfast,NA,NA
display Top Line  Ahold in quarter Q1 to Q4?,Top Line,NA,NA,Ahold
generate Bottom Line  Aldi in week Wk43?,Bottom Line,NA,NA,Aldi
fetch Net sales  Aldi in quarter Q2 to Q4?,Net sales,NA,NA,Aldi
generate Count  Caramels in week Wk3?,Count,NA,Caramels,NA
generate Top Line  Hot Dogs in week Wk13 to Wk36?,Top Line,NA,Hot Dogs,NA
get Count  Kroger in month Sep?,Count,NA,NA,Kroger
fetch Max Shipment  Natural Cheese in year 2019?,Max Shipment,NA,Natural Cheese,NA
